Name,Tot. Statements,Deployed,Tot. Branches,Avg. Test Case Lenght,Branches Covered,Generations,Blockchain Time,Offchain Time,Total time
PermissionGroups,58,Y,4875.246471,10.523255813953488,86,30,3665.199866,1210.0466050000005,4875.246471
FundRaising,23,N,78.993203,5.714285714285714,21,0,61.067732,17.925470999999995,78.993203
SecureAuction,11,Y,79.526557,3.5,6,1,64.357738,15.168819,79.526557
BasicToken,11,N,107.075501,4.125,8,1,80.674535,26.400965999999997,107.075501
BasicToken,11,N,108.606811,3.5,8,1,82.226587,26.380224,108.606811
SecureAuction,11,Y,78.358169,4.333333333333333,6,1,63.504115,14.854054000000005,78.358169
FundRaising,23,N,75.791407,8.19047619047619,21,0,57.370932,18.420475000000003,75.791407
EasyPayAndWithDraw,7,N,632.477284,4.625,8,4,535.843075,96.63420900000006,632.477284
EtherBank,13,N,6300.535055,2.4285714285714284,14,100,5271.74348,1028.7915750000002,6300.535055
LotteryMultipleWinners,31,N,15583.502508,9.022727272727273,44,100,12011.960065,3571.5424430000003,15583.502508
EasyPayAndWithDraw,7,N,371.950429,6.0,8,2,313.012156,58.93827299999998,371.950429
MyAdvancedToken,53,Y,149.546481,2.0,3,0,106.700293,42.846188,149.546481
EIP20StandardToken,24,Y,117.168405,6.3076923076923075,13,0,88.872262,28.296143,117.168405
FixedSupplyToken,39,Y,1210.451424,2.8636363636363638,22,13,953.713457,256.73796700000014,1210.451424
IdentityManager,49,Y,18805.71109,4.733333333333333,75,100,13548.251695,5257.459395,18805.71109
Greeter3,15,N,152.651363,7.7534246575342465,73,0,106.605924,46.045439,152.651363
MultiSigWallet (2),59,N,19020.381396,6.341463414634147,82,100,13984.28134,5036.100056000001,19020.381396
VulnerableTwoStep,11,N,92.836579,3.7,10,0,77.906681,14.929897999999994,92.836579
EIP20StandardToken,24,Y,144.189301,8.615384615384615,13,0,109.494508,34.694793000000004,144.189301
LotteryMultipleWinners,31,N,12052.850299,10.222222222222221,45,50,9079.772809,2973.0774899999997,12052.850299
Greeter,15,N,180.381637,9.481481481481481,81,0,123.558175,56.823462000000006,180.381637
Gift_1_ETH,18,Y,8033.020818,2.0714285714285716,14,100,6557.859665,1475.161153,8033.020818
PermissionGroups,58,Y,6722.350831,7.953488372093023,86,52,4990.89806,1731.4527709999993,6722.350831
FundRaising,23,N,78.455721,5.333333333333333,21,0,59.242437,19.213283999999994,78.455721
MultiSigWallet (2),59,N,26825.564248,4.12987012987013,77,100,19507.332862,7318.2313859999995,26825.564248
TestDateTime,160,Y,17475.978919,2.5375,240,100,11011.728926,6464.249993000001,17475.978919
SecureAuction,11,Y,77.945094,2.5,6,1,63.457608,14.487485999999997,77.945094
BasicToken,11,N,108.326401,4.625,8,1,81.115595,27.210806000000005,108.326401
BasicToken,11,N,117.052913,3.625,8,1,88.371706,28.681207,117.052913
SecureAuction,11,Y,81.63267,2.3333333333333335,6,1,66.31044,15.322230000000005,81.63267
TestDateTime,160,Y,13839.537373,2.3333333333333335,240,100,8786.654148,5052.883225,13839.537373
TestDateTime,160,Y,25596.639603,2.1380753138075312,239,100,15744.233883,9852.405719999999,25596.639603
