Name,Tot. Statements,Deployed,Tot. Branches,Avg. Test Case Lenght,Branches Covered,Generations,Blockchain Time,Offchain Time,Total time
Prover,27,Y,225.252794,3.6470588235294117,17,0,157.661495,67.59129899999999,225.252794
Rubixi,56,Y,5180.402514,3.1641791044776117,67,100,3661.66396,1518.7385540000005,5180.402514
EzToken,31,Y,160.072386,3.909090909090909,11,1,112.193706,47.87867999999999,160.072386
BadAuction,7,N,90.64126,2.5714285714285716,7,0,76.468853,14.172407000000007,90.64126
Randomness,22,N,10521.460681,2.4375,16,100,8653.555858,1867.9048230000008,10521.460681
DosAuction,7,Y,69.849927,3.2857142857142856,7,1,59.80725,10.04267699999999,69.849927
Reentrance,9,Y,5992.062054,2.0,13,100,5042.529753,949.5323010000002,5992.062054
Prover,27,Y,209.654251,2.9411764705882355,17,0,151.058839,58.59541199999998,209.654251
Reentrance,9,Y,4232.479563,2.0,13,100,3608.699708,623.7798549999998,4232.479563
DosAuction,7,Y,71.979847,2.5714285714285716,7,1,61.44894,10.530907000000006,71.979847
Randomness,22,N,9015.963425,2.4375,16,100,7431.598253,1584.3651719999998,9015.963425
BadAuction,7,N,92.384993,3.2857142857142856,7,0,77.711863,14.67313,92.384993
Rubixi,56,Y,5720.59237,5.768115942028985,69,100,4082.993839,1637.598531,5720.59237
EzToken,31,Y,168.196138,4.7272727272727275,11,1,122.371776,45.824361999999994,168.196138
GuardCheck,10,N,151.802026,6.785714285714286,14,1,125.690879,26.111147000000017,151.802026
FundRaising,23,N,86.289184,8.19047619047619,21,0,65.095517,21.193667000000005,86.289184
MultiSigWallet (1),56,N,10894.63184,5.084745762711864,58,100,8408.627918,2486.003922,10894.63184
FixedSupplyToken,39,Y,515.405714,5.090909090909091,22,4,402.819591,112.58612299999999,515.405714
Casino,38,N,8226.271801,5.72,25,100,6675.211621,1551.0601800000004,8226.271801
MultiSigWallet (1),56,N,14225.095604,2.9836065573770494,60,100,10827.194296,3397.9013080000004,14225.095604
theRun,62,Y,9212.349671,2.0,34,100,6854.057804,2358.291867,9212.349671
Greeter3,15,N,138.217861,8.479452054794521,73,0,97.426002,40.791859,138.217861
EzToken,31,Y,159.610491,4.7272727272727275,11,1,116.302293,43.30819799999999,159.610491
Rubixi,56,Y,6165.074195,4.208955223880597,67,100,4215.77347,1949.300725,6165.074195
Randomness,22,N,9932.257703,2.4375,16,100,8162.859971,1769.3977319999995,9932.257703
BadAuction,7,N,88.666782,2.4285714285714284,7,0,74.319674,14.347107999999992,88.666782
DosAuction,7,Y,63.89147,3.2857142857142856,7,1,54.3067,9.584769999999999,63.89147
Reentrance,9,Y,5296.585114,2.0,13,100,4437.794128,858.7909860000009,5296.585114
Prover,27,Y,219.954169,4.411764705882353,17,0,155.673309,64.28086000000002,219.954169
Prover,27,Y,215.446195,3.176470588235294,17,0,152.162384,63.283810999999986,215.446195
EzToken,31,Y,155.297709,3.4545454545454546,11,1,112.753992,42.543717,155.297709
Reentrance,9,Y,5629.916947,2.0,13,100,4751.676267,878.2406799999999,5629.916947
BadAuction,7,N,81.714148,3.2857142857142856,7,0,68.010642,13.70350599999999,81.714148
Randomness,22,N,7782.702358,2.625,16,100,6436.567512,1346.134846,7782.702358
Rubixi,56,Y,4942.038691,4.552238805970149,67,100,3369.954041,1572.0846499999998,4942.038691
theRun,62,Y,11153.380024,2.176470588235294,34,100,8433.809063,2719.5709609999994,11153.380024
MultiSigWallet (1),56,N,15691.507538,2.723076923076923,64,100,11718.961254,3972.546284,15691.507538
Casino,38,N,8088.448052,6.16,25,100,6651.132344,1437.315708,8088.448052
MultiSigWallet (1),56,N,14401.715327,3.4262295081967213,60,100,11163.439344,3238.2759829999995,14401.715327
FixedSupplyToken,39,Y,7769.675745,2.142857142857143,21,100,6172.475407,1597.2003379999996,7769.675745
