Name,Tot. Statements,Tot. Branches,Deployed,Avg. Test Case Length,Branches Covered,Generations,Blockchain Time,Offchain Time,Total Time,Branch %
OpenAddressLottery,30,34,1,2.09375,32.0,101,8098.723643,1965.1422269999994,10063.86587,0.9411764705882353
DosAuction,7,7,1,3.857142857142857,7.0,1,62.491537,10.656992999999993,73.14853,1.0
DosAuction,7,7,1,3.0,7.0,1,62.921677,10.396455000000003,73.318132,1.0
OpenAddressLottery,30,34,1,2.125,32.0,101,8180.872457,1974.873645999999,10155.746103,0.9411764705882353
Greeter2,13,60,0,6.9,60.0,1,121.363566,55.51928199999999,176.882848,1.0
EtherBank,13,17,0,2.857142857142857,14.0,101,1840.766466,239.5987180000002,2080.365184,0.8235294117647058
EzToken,31,11,1,5.2727272727272725,11.0,1,106.112306,42.380658,148.492964,1.0
MyAdvancedToken,53,3,1,2.3333333333333335,3.0,1,87.764656,37.321217000000004,125.085873,1.0
GuardCheck,10,14,0,4.5,14.0,1,66.11917,14.515661000000009,80.634831,1.0
Casino,38,29,0,10.04,25.0,101,10893.489352,2418.611347,13312.100699,0.8620689655172413
Greeter3,15,73,0,9.95890410958904,73.0,1,186.833996,89.85385400000001,276.68785,1.0
IdentityManager,49,90,1,2.7818181818181817,55.0,101,8706.170151,2777.8885339999997,11484.058685,0.6111111111111112
VulnerableTwoStep,11,10,0,6.1,10.0,1,57.359142,12.185814,69.544956,1.0
EIP20StandardToken,24,13,1,4.923076923076923,13.0,1,80.333845,26.301782000000003,106.635627,1.0
EasyPayAndWithDraw,7,8,0,2.0,6.0,101,6877.938057,1129.010061,8006.948118,0.75
LotteryMultipleWinners,31,45,0,8.6,45.0,62,4663.794013,1246.5066510000006,5910.300664,1.0
EtherBank,13,17,0,3.0,14.0,101,1824.188089,233.19884800000023,2057.386937,0.8235294117647058
PermissionGroups,58,86,1,7.345238095238095,84.0,101,12426.837133,3413.5867039999994,15840.423837,0.9767441860465116
FundRaising,23,21,0,6.666666666666667,21.0,1,67.908031,19.45507400000001,87.363105,1.0
SecureAuction,11,6,1,5.0,6.0,1,68.951931,15.559403000000003,84.511334,1.0
BasicToken,11,8,0,2.875,8.0,1,71.784342,22.849073000000004,94.633415,1.0
BasicToken,11,8,0,4.125,8.0,1,70.928295,22.993662,93.921957,1.0
SecureAuction,11,6,1,3.6666666666666665,6.0,1,77.596182,17.81201,95.408192,1.0
FundRaising,23,21,0,6.523809523809524,21.0,1,63.192027,19.43667899999999,82.628706,1.0
EasyPayAndWithDraw,7,8,0,2.0,6.0,101,6721.384646,1064.5110559999994,7785.895702,0.75
EtherBank,13,17,0,2.7857142857142856,14.0,101,1653.72274,220.71209999999996,1874.43484,0.8235294117647058
LotteryMultipleWinners,31,45,0,6.777777777777778,45.0,47,3577.227378,967.3101689999999,4544.537547,1.0
EasyPayAndWithDraw,7,8,0,2.0,6.0,101,6870.932654,1133.862266,8004.79492,0.75
MyAdvancedToken,53,3,1,3.6666666666666665,3.0,1,102.139723,38.910729,141.050452,1.0
EIP20StandardToken,24,13,1,3.6153846153846154,13.0,1,94.325436,32.591082,126.916518,1.0
FixedSupplyToken,39,22,1,4.318181818181818,22.0,4,530.382356,160.36908900000003,690.751445,1.0
IdentityManager,49,90,1,3.5454545454545454,55.0,101,8766.884044,2805.2878949999995,11572.171939,0.6111111111111112
Greeter3,15,73,0,9.0,73.0,1,192.772008,94.56088100000002,287.332889,1.0
MultiSigWallet (2),59,83,0,5.219178082191781,73.0,101,7675.228926,1986.052305000001,9661.281231,0.8795180722891566
VulnerableTwoStep,11,10,0,5.8,10.0,1,67.316369,12.988576000000009,80.304945,1.0
EIP20StandardToken,24,13,1,7.769230769230769,13.0,1,86.117708,29.438479,115.556187,1.0
LotteryMultipleWinners,31,45,0,6.25,40.0,101,7623.027547,2035.5805970000001,9658.608144,0.8888888888888888
